name,gender
ishan,M
ishana,M
ishat,M
ishit,M
ishayu,M
ishir,M
ishwar,M
jagadbandu,M
jagadeep,M
jagadhish,M
jagadev,M
jagajeet,M
jagajeevan,M
jagan,M
jaganmay,M
jagannath,M
jagat,M
jagatguru,M
jagatkishor,M
jagatprakash,M
jagatprabhu,M
jagatpal,M
jagatveer,M
jagatbehari,M
jagdeep,M
jagdeo,M
jagdish,M
jagesh,M
jagger,M
jagish,M
jag,M
jagmohan,M
jagrav,M
jahan,M
jahi,M
jahnu,M
jai,M
jaichand,M
jaidayal,M
jaideep,M
jaidev,M
jaigopal,M
jaikrishna,M
jaiman,M
jainarayan,M
jainil,M
jaipal,M
jairaj,M
jairam,M
jaisal,M
jaisukh,M
jaithra,M
jaival,M
jaivant,M
jaivardhan,M
jaiveer,M
jakarious,M
jalbhushan,M
jaldev,M
jaldhar,M
jalendu,M
jalesh,M
jalsa,M
janak,M
janakibhushan,M
janakidas,M
janakinath,M
janakiraman,M
janamejay,M
janardan,M
janesh,M
jankesh,M
janmesh,M
janu,M
japa,M
japendra,M
japesh,M
jasbeer,M
jashith,M
jasjit,M
jaskaran,M
jaspal,M
jasraj,M
jasveer,M
jaswant,M
jataayu,M
jatan,M
jatasya,M
jatin,M
javesh,M
jawahar,M
jay,M
jayachand,M
jayadeep,M
jayaditya,M
jayakrishan,M
jayani,M
jayant,M
jayapal,M
jayaprakash,M
jayashekhar,M
jayawant,M
jayendra,M
jayesh,M
jayin,M
jaysukh,M
jeeval,M
jeevan,M
jeevanprakash,M
jeevaraaj,M
jeevesh,M
jhulier,M
jhumar,M
jigar,M
jiger,M
jignesh,M
jilesh,M
jimuta,M
jina,M
jinabhadra,M
jinadev,M
jinendra,M
jishnu,M
jitamitra,M
jitendra,M
jithvar,M
jivaj,M
jival,M
jivana,M
jivin,M
jivitesh,M
jivraj,M
jnyandeep,M
jnyaneshwar,M
jogesh,M
jogi,M
joginder,M
jogindra,M
jograj,M
jugal,M
jugnu,M
jwala,M
jwalant,M
jwalia,M
jyestha,M
jyotheesh,M
jyothish,M
jyotichandra,M
jyotindra,M
jyotiprakash,M
jyotiranjan,M
jyotirdhar,M
jyotirmaya,M
jwalaprasad,M
kaaliya,M
kaanan,M
kaarikaa,M
kaartikeya,M
kaashinaath,M
kabali,M
kabir,M
kadamb,M
kaditula,M
kailash,M
kailashchandra,M
kailashnath,M
kairav,M
kaivalya,M
kaladhar,M
kalanath,M
kalanidhi,M
kalap,M
kalash,M
kaleecharan,M
kalhans,M
kalicharan,M
kalidas,M
kalimohan,M
kaling,M
kaliranjan,M
kalkin,M
kallol,M
kalpak,M
kalpanath,M
kalpesh,M
kalyan,M
kamadev,M
kamal,M
kamalaapati,M
kamalaj,M
kamalakar,M
kamalaksh,M
kamalanayan,M
kamalbandhu,M
kamalesh,M
kamalkant,M
kamalnayan,M
kamalnath,M
kamboj,M
kamesh,M
kamod,M
kamran,M
kamsantak,M
kanaiya,M
kanak,M
kanan,M
kandarp,M
kanha,M
kanhaiya,M
kanish,M
kanishk,M
kanj,M
kantilal,M
kantimoy,M
kanu,M
kanv,M
kanvar,M
kanwal,M
kanwaljeet,M
kanwalkishore,M
kapaali,M
kapi,M
kapidhwaj,M
kapil,M
kapilashwar,M
kapindra,M
kapirath,M
kapish,M
karan,M
karmendra,M
karmjit,M
karna,M
karnabhushan,M
karnajeet,M
karnam,M
karnapriya,M
karpoor,M
kartar,M
kartik,M
kartikeya,M
karuna,M
karunaanidhi,M
karunakar,M
karunamaya,M
karunanidhi,M
karunashankar,M
karunesh,M
kashi,M
kashif,M
kashinath,M
kashiprasad,M
kashyap,M
kasish,M
katyayan,M
kausar,M
kaushal,M
kaushalesh,M
kaushik,M
kaustav,M
kaustubh,M
kautik,M
kautilya,M
kaveesha,M
kavel,M
kavi,M
kavin,M
kavindra,M
kaviraj,M
kavish,M
kayaan,M
kedaar,M
kedarnath,M
keertan,M
keerthinath,M
kesar,M
keshav,M
keshto,M
ketak,M
ketan,M
ketu,M
ketubh,M
keva,M
keval,M
kevalkishore,M
kevalkumar,M
keyansh,M
khagendra,M
khagesh,M
khairiya,M
khajit,M
kharanshu,M
khemchand,M
khemprakash,M
khushal,M
khushwant,M
kindam,M
kinshuk,M
kintan,M
kiraat,M
kiran,M
kirat,M
kiratidev,M
kireet,M
kirin,M
kiritmani,M
kirtan,M
kirti,M
kirtibhushan,M
kirtikumar,M
kirtin,M
kirtivallabh,M
kishan,M
kishor,M
kishore,M
kishorekumar,M
koshin,M
koundinya,M
kovidh,M
kraanti,M
kripa,M
kripal,M
kripanidhi,M
kripasagar,M
krish,M
krishang,M
krishna,M
krishanu,M
krishnachandra,M
krishnadeva,M
krishnakumar,M
krishnamurari,M
krishnamurthy,M
krishnendu,M
kritanu,M
kritin,M
krithik,M
krivi,M
krunal,M
krupal,M
kshantu,M
kshaunish,M
kshemendra,M
kshirin,M
kshiraj,M
kshitidhar,M
kshitij,M
kshrugal,M
kuber,M
kuberchand,M
kularanjan,M
kulbhooshan,M
kuldeep,M
kuldev,M
kulvir,M
kumar,M
kumaresh,M
kumud,M
kumudesh,M
kumush,M
kunal,M
kunda,M
kundan,M
kundanlal,M
kunjabihari,M
kunsh,M
kunshi,M
kunwar,M
kusagra,M
kush,M
kushabahu,M
kushad,M
kushal,M
kushanu,M
kusumakar,M
kusumesh,M
kuvam,M
kuvar,M
kvanh,M
laabh,M
laalamani,M
laavanya,M
lahar,M
lakhan,M
lakshan,M
laksh,M
lakshman,M
lakshmikant,M
lakshanya,M
lakshmidhar,M
lakshmigopal,M
lakshminath,M
lakshminarayan,M
lakshmipati,M
lakshmiraman,M
lakshya,M
lalam,M
lalan,M
lalchand,M
lalit=,M
lalit,M
lalitaditya,M
lalitchandra,M
lalitesh,M
lalitkishore,M
lalitkumar,M
lalitlochan,M
lalitmohan,M
lambodar,M
laniban,M
lankesh,M
larraj,M
lav,M
lavitra,M
layak,M
lekh,M
liladhar,M
lochan,M
lohendra,M
lohit,M
lohitaksha,M
lohitashwa,M
lokakriti,M
lokanetra,M
lokapujya,M
lokesh,M
lokbhushan,M
loknaath,M
lokpradeep,M
lokprakash,M
lokranjan,M
lomash,M
lovenish,M
lovesh,M
lukesh,M
luv,M
maadhav,M
maagh,M
maalav,M
maalolan,M
maandhata,M
madan,M
madangopal,M
madanmohan,M
maderu,M
madesh,M
madhav,M
madhavan,M
madhavdas,M
madhu,M
madhuban,M
madhuchanda,M
madhuk,M
madhukant,M
madhukar,M
madhup,M
madhur,M
madhusudan,M
madhusoodan,M
madin,M
magan,M
maha,M
mahadev,M
mahaveer,M
mahabahu,M
mahabala,M
